2024-09-25 15:16:47,760 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Configure stats pid to 232331
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Loading settings from /system/user/sanokows/.config/wandb/settings
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Loading settings from /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/settings
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py', 'program': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py'}
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_init.py:_log_setup():524] Logging user logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20240925_151647-g90n5vjl/logs/debug.log
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_init.py:_log_setup():525] Logging internal logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20240925_151647-g90n5vjl/logs/debug-internal.log
2024-09-25 15:16:47,761 INFO    MainThread:232331 [wandb_init.py:init():607] calling init triggers
2024-09-25 15:16:47,762 INFO    MainThread:232331 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'dim_x': 2, 'lr': 0.001, 'n_hidden': 64, 'n_layers': 3, 'num_epochs': 1000, 'steps_per_epoch': 10, 'batch_size': 100, 'n_integration_steps': 200, 'T_target': 8.0, 'anneal_decay': 0.995}
2024-09-25 15:16:47,762 INFO    MainThread:232331 [wandb_init.py:init():657] starting backend
2024-09-25 15:16:47,762 INFO    MainThread:232331 [wandb_init.py:init():661] setting up manager
2024-09-25 15:16:47,765 INFO    MainThread:232331 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-25 15:16:47,770 INFO    MainThread:232331 [wandb_init.py:init():669] backend started and connected
2024-09-25 15:16:47,775 INFO    MainThread:232331 [wandb_init.py:init():767] updated telemetry
2024-09-25 15:16:47,854 INFO    MainThread:232331 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-25 15:16:48,468 INFO    MainThread:232331 [wandb_init.py:init():851] starting run threads in backend
2024-09-25 15:16:54,550 INFO    MainThread:232331 [wandb_run.py:_console_start():2463] atexit reg
2024-09-25 15:16:54,551 INFO    MainThread:232331 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-09-25 15:16:54,551 INFO    MainThread:232331 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-09-25 15:16:54,552 INFO    MainThread:232331 [wandb_run.py:_redirect():2399] Redirects installed.
2024-09-25 15:16:54,558 INFO    MainThread:232331 [wandb_init.py:init():894] run started, returning control to user process
