2024-09-27 14:24:48,654 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Configure stats pid to 1167851
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Loading settings from /system/user/sanokows/.config/wandb/settings
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Loading settings from /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/settings
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py', 'program': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py'}
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_init.py:_log_setup():524] Logging user logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20240927_142448-g6l0lbc9/logs/debug.log
2024-09-27 14:24:48,655 INFO    MainThread:1167851 [wandb_init.py:_log_setup():525] Logging internal logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20240927_142448-g6l0lbc9/logs/debug-internal.log
2024-09-27 14:24:48,656 INFO    MainThread:1167851 [wandb_init.py:init():607] calling init triggers
2024-09-27 14:24:48,656 INFO    MainThread:1167851 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'dim_x': 1, 'lr': 0.0001, 'n_hidden': 64, 'n_layers': 3, 'num_epochs': 1000, 'steps_per_epoch': 10, 'batch_size': 100, 'n_integration_steps': 200, 'T_target': 1.0, 'anneal_decay': 0.0}
2024-09-27 14:24:48,656 INFO    MainThread:1167851 [wandb_init.py:init():657] starting backend
2024-09-27 14:24:48,657 INFO    MainThread:1167851 [wandb_init.py:init():661] setting up manager
2024-09-27 14:24:48,659 INFO    MainThread:1167851 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-27 14:24:48,664 INFO    MainThread:1167851 [wandb_init.py:init():669] backend started and connected
2024-09-27 14:24:48,668 INFO    MainThread:1167851 [wandb_init.py:init():767] updated telemetry
2024-09-27 14:24:48,748 INFO    MainThread:1167851 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-27 14:24:49,261 INFO    MainThread:1167851 [wandb_init.py:init():851] starting run threads in backend
2024-09-27 14:24:55,141 INFO    MainThread:1167851 [wandb_run.py:_console_start():2463] atexit reg
2024-09-27 14:24:55,141 INFO    MainThread:1167851 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-09-27 14:24:55,141 INFO    MainThread:1167851 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-09-27 14:24:55,142 INFO    MainThread:1167851 [wandb_run.py:_redirect():2399] Redirects installed.
2024-09-27 14:24:55,148 INFO    MainThread:1167851 [wandb_init.py:init():894] run started, returning control to user process
