2024-09-27 15:00:36,211 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Configure stats pid to 1192393
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Loading settings from /system/user/sanokows/.config/wandb/settings
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Loading settings from /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/settings
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py', 'program': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py'}
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_init.py:_log_setup():524] Logging user logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20240927_150036-o6ii7pno/logs/debug.log
2024-09-27 15:00:36,212 INFO    MainThread:1192393 [wandb_init.py:_log_setup():525] Logging internal logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20240927_150036-o6ii7pno/logs/debug-internal.log
2024-09-27 15:00:36,213 INFO    MainThread:1192393 [wandb_init.py:init():607] calling init triggers
2024-09-27 15:00:36,213 INFO    MainThread:1192393 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'dim_x': 1, 'lr': 0.0001, 'n_hidden': 64, 'n_layers': 3, 'num_epochs': 1000, 'steps_per_epoch': 10, 'batch_size': 100, 'n_integration_steps': 200, 'T_target': 0.0, 'T_start': 1.0, 'anneal_decay': 0.98, 'anneal_mode': 'linear'}
2024-09-27 15:00:36,213 INFO    MainThread:1192393 [wandb_init.py:init():657] starting backend
2024-09-27 15:00:36,214 INFO    MainThread:1192393 [wandb_init.py:init():661] setting up manager
2024-09-27 15:00:36,216 INFO    MainThread:1192393 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-27 15:00:36,221 INFO    MainThread:1192393 [wandb_init.py:init():669] backend started and connected
2024-09-27 15:00:36,225 INFO    MainThread:1192393 [wandb_init.py:init():767] updated telemetry
2024-09-27 15:00:36,303 INFO    MainThread:1192393 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-27 15:00:36,784 INFO    MainThread:1192393 [wandb_init.py:init():851] starting run threads in backend
2024-09-27 15:00:44,005 INFO    MainThread:1192393 [wandb_run.py:_console_start():2463] atexit reg
2024-09-27 15:00:44,006 INFO    MainThread:1192393 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-09-27 15:00:44,006 INFO    MainThread:1192393 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-09-27 15:00:44,006 INFO    MainThread:1192393 [wandb_run.py:_redirect():2399] Redirects installed.
2024-09-27 15:00:44,013 INFO    MainThread:1192393 [wandb_init.py:init():894] run started, returning control to user process
