2024-10-04 11:56:51,026 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-10-04 11:56:51,027 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Configure stats pid to 2129509
2024-10-04 11:56:51,027 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Loading settings from /system/user/sanokows/.config/wandb/settings
2024-10-04 11:56:51,027 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Loading settings from /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/settings
2024-10-04 11:56:51,027 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-04 11:56:51,027 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-10-04 11:56:51,027 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py', 'program': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py'}
2024-10-04 11:56:51,027 INFO    MainThread:2129509 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-04 11:56:51,028 INFO    MainThread:2129509 [wandb_init.py:_log_setup():524] Logging user logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20241004_115651-bzxxgwd3/logs/debug.log
2024-10-04 11:56:51,028 INFO    MainThread:2129509 [wandb_init.py:_log_setup():525] Logging internal logs to /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20241004_115651-bzxxgwd3/logs/debug-internal.log
2024-10-04 11:56:51,028 INFO    MainThread:2129509 [wandb_init.py:init():607] calling init triggers
2024-10-04 11:56:51,028 INFO    MainThread:2129509 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'EnergyConfig': {'name': 'GaussianMixture', 'dim_x': 1, 'means': [-5.0, 5.0], 'variances': [1.0, 1.0], 'weights': [0.5, 0.5]}, 'Anneal_Config': {'name': 'Linear', 'T_start': 0.4, 'T_end': 0.0, 'N_anneal': 1000}, 'SDE_Loss_Config': {'name': 'Reverse_KL_Loss', 'SDE_Type_Config': {'name': 'VP_SDE', 'beta_min': 0.1, 'beta_max': 10.0}}, 'lr': 0.001, 'n_hidden': 64, 'n_layers': 3, 'num_epochs': 1000, 'steps_per_epoch': 10, 'batch_size': 100, 'n_integration_steps': 200}
2024-10-04 11:56:51,030 INFO    MainThread:2129509 [wandb_init.py:init():657] starting backend
2024-10-04 11:56:51,030 INFO    MainThread:2129509 [wandb_init.py:init():661] setting up manager
2024-10-04 11:56:51,032 INFO    MainThread:2129509 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-04 11:56:51,037 INFO    MainThread:2129509 [wandb_init.py:init():669] backend started and connected
2024-10-04 11:56:51,042 INFO    MainThread:2129509 [wandb_init.py:init():767] updated telemetry
2024-10-04 11:56:51,122 INFO    MainThread:2129509 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-10-04 11:56:51,687 INFO    MainThread:2129509 [wandb_init.py:init():851] starting run threads in backend
2024-10-04 11:56:57,494 INFO    MainThread:2129509 [wandb_run.py:_console_start():2463] atexit reg
2024-10-04 11:56:57,495 INFO    MainThread:2129509 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-10-04 11:56:57,495 INFO    MainThread:2129509 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-10-04 11:56:57,495 INFO    MainThread:2129509 [wandb_run.py:_redirect():2399] Redirects installed.
2024-10-04 11:56:57,505 INFO    MainThread:2129509 [wandb_init.py:init():894] run started, returning control to user process
